id,key,ref_id,language,text
121,groupagedata,28,fr,évaluation Point d'étape CP : Soustraire
122,groupagedata,29,fr,évaluation repères CE1 : Comprendre des mots
123,groupagedata,30,fr,évaluation repères CE1 : Comprendre des phrases
124,groupagedata,31,fr,évaluation repères CE1 : Comprendre des phrases lues seul
125,groupagedata,32,fr,évaluation repères CE1 : Comprendre un texte lu seul
126,groupagedata,33,fr,évaluation repères CE1 : Écrire des mots
127,groupagedata,34,fr,évaluation repères CE1 : Écrire des syllabes
128,groupagedata,35,fr,évaluation repères CE1 : Lire à voix haute des mots
129,groupagedata,36,fr,évaluation repères CE1 : Lire à voix haute un texte
130,groupagedata,37,fr,évaluation repères CE1 : Calculer mentalement
131,groupagedata,38,fr,évaluation repères CE1 : Additionner
132,groupagedata,39,fr,évaluation repères CE1 : Écrire des nombres
133,groupagedata,40,fr,évaluation repères CE1 : Lire des nombres
134,groupagedata,41,fr,évaluation repères CE1 : Placer un nombre sur une ligne graduée
135,groupagedata,42,fr,évaluation repères CE1 : Résoudre des problèmes
136,groupagedata,43,fr,évaluation repères CE1 : Résoudre un problème en géométrie
137,groupagedata,44,fr,évaluation repères CE1 : Soustraire
138,groupagedata,45,fr,évaluations repères CM1 : Comprendre un texte
139,groupagedata,46,fr,évaluations repères CM1 : Comprendre un texte lu seul
140,groupagedata,47,fr,évaluations repères CM1 : Lire à voix haute un texte
141,groupagedata,48,fr,évaluations repères CM1 : Écrire des mots
142,groupagedata,49,fr,évaluations repères CM1 : Reconnaître des synonymes
143,groupagedata,50,fr,évaluations repères CM1 : Reconnaître des mots de la même famille
144,groupagedata,51,fr,évaluations repères CM1 : Repérer le sujet et le verbe
145,groupagedata,52,fr,évaluations repères CM1 : Accorder le nom et l’adjectif
146,groupagedata,53,fr,évaluations repères CM1 : Accorder le sujet et le verbe
147,groupagedata,54,fr,évaluations repères CM1 : Écrire des nombres entiers
148,groupagedata,55,fr,évaluations repères CM1 : Placer un nombre sur une ligne graduée
149,groupagedata,56,fr,évaluations repères CM1 : Résoudre des problèmes
150,groupagedata,57,fr,évaluations repères CM1 : Connaître les tables de multiplication
151,groupagedata,58,fr,évaluations repères CM1 : Calculer rapidement
152,groupagedata,59,fr,évaluations repères CM1 : Poser et calculer
153,groupagedata,60,fr,évaluations repères GS : LES COULEURS
154,groupagedata,61,fr,évaluations repères GS : RECONNAISSANCE PRENOM
155,groupagedata,62,fr,évaluations repères GS : REPÉRAGE SPATIAL ET TOPOLOGIE
156,groupagedata,63,fr,évaluations repères GS : CATEGORISATION
157,groupagedata,64,fr,évaluations repères GS : MEMORISATION HISTOIRE
158,groupagedata,65,fr,évaluations repères GS : LA SUITE NUMÉRIQUE
159,groupagedata,66,fr,évaluations repères GS : LA RÉSOLUTION DE PROBLEMES
160,groupagedata,67,fr,évaluations repères GS : PHONOLOGIE
161,groupagedata,68,fr,évaluations repères CM2 : PROBLEMES
162,groupagedata,69,fr,évaluations repères CM2 : PHONOLOGIE
163,groupagedata,70,fr,évaluations repères GS : LES COULEURS
164,groupagedata,71,fr,évaluations repères GS : RECONNAISSANCE PRENOM
165,groupagedata,72,fr,évaluations repères GS : REPÉRAGE SPATIAL ET TOPOLOGIE
166,groupagedata,73,fr,évaluations repères GS : CATEGORISATION
167,groupagedata,74,fr,évaluations repères GS : MEMORISATION HISTOIRE
168,groupagedata,75,fr,évaluations repères GS : LA SUITE NUMÉRIQUE
169,groupagedata,76,fr,évaluations repères GS : LA RÉSOLUTION DE PROBLEMES
170,groupagedata,77,fr,évaluations repères GS : PHONOLOGIE
171,groupagedata,78,en,benchmark preschool: COLORS
172,groupagedata,79,en,benchmark preschool: RECOGNITION OF FIRST NAME
173,groupagedata,80,en,benchmark preschool: SPATIAL AND TOPOLOGICAL ORIENTATION
174,groupagedata,81,en,benchmark preschool: CATEGORIZATION
175,groupagedata,82,en,benchmark preschool: STORY MEMORIZATION
176,groupagedata,83,en,benchmark preschool: NUMERIC SEQUENCE
177,groupagedata,84,en,benchmark preschool: PROBLEM SOLVING
178,groupagedata,85,en,benchmark preschool: PHONOLOGY
179,groupagedata,78,bz,bevenn skol-vamm : LIVIÑ
180,groupagedata,79,bz,bevenn skol-vamm : ANV AR PRENAME
181,groupagedata,80,bz,bevenn skol-vamm : RANNIEZH SPATIEL HA TOPOLOJEK
182,groupagedata,81,bz,bevenn skol-vamm : KATEGORIZAÑ
183,groupagedata,82,bz,bevenn skol-vamm : MIRAÑ ISTORIOÙ
184,groupagedata,83,bz,bevenn skol-vamm : HEULIAD NIVEREL
185,groupagedata,84,bz,bevenn skol-vamm : SOLIAD PROBLEM
186,groupagedata,85,bz,bevenn skol-vamm : FONOLOJIEZH
187,groupagedata,78,de,Referenz Kindergarten: FARBEN
188,groupagedata,79,de,Referenz Kindergarten: ERKENNUNG DES VORNAMENS
189,groupagedata,80,de,Referenz Kindergarten: RÄUMLICHE UND TOPOLOGISCHE ORIENTIERUNG
190,groupagedata,81,de,Referenz Kindergarten: KATEGORISIERUNG
191,groupagedata,82,de,Referenz Kindergarten: GESCHICHTENERINNERUNG
192,groupagedata,83,de,Referenz Kindergarten: ZAHLENFOLGE
193,groupagedata,84,de,Referenz Kindergarten: PROBLEMLÖSUNG
194,groupagedata,85,de,Referenz Kindergarten: PHONOLOGIE
195,groupagedata.label,1,fr,Comprendre des mots
196,groupagedata.label,2,fr,Comprendre des phrases
197,groupagedata.label,3,fr,Comprendre un texte
198,groupagedata.label,4,fr,Connaître le nom des lettres
199,groupagedata.label,5,fr,Manipuler des phonèmes
200,groupagedata.label,6,fr,Manipuler des syllabes
201,groupagedata.label,7,fr,Reconnaître des lettres
202,groupagedata.label,8,fr,Comparer des nombres
203,groupagedata.label,9,fr,Compter des objets
204,groupagedata.label,10,fr,Écrire des nombres
205,groupagedata.label,11,fr,Lire des nombres
206,groupagedata.label,12,fr,Placer un nombre sur une ligne graduée
207,groupagedata.label,13,fr,Résoudre les problèmes
208,groupagedata.label,14,fr,Résoudre un problème en géométrie
209,groupagedata.label,15,fr,Comprendre des phrases lues seul
210,groupagedata.label,16,fr,Comprendre des phrases
211,groupagedata.label,17,fr,Connaître le nom des lettres
212,groupagedata.label,18,fr,Écrire des mots
213,groupagedata.label,19,fr,Écrire des syllabes
214,groupagedata.label,20,fr,Lire à voix haute des mots
215,groupagedata.label,21,fr,Lire à voix haute un texte
216,groupagedata.label,22,fr, Manipuler des phonèmes
217,groupagedata.label,23,fr,Additionner
218,groupagedata.label,24,fr,Comparer des nombres
219,groupagedata.label,25,fr,Écrire des nombres
220,groupagedata.label,26,fr,Placer un nombre sur une ligne graduée
221,groupagedata.label,27,fr,Résoudre des problèmes
222,groupagedata.label,28,fr,Soustraire
223,groupagedata.label,29,fr,Comprendre des mots
224,groupagedata.label,30,fr,Comprendre des phrases
225,groupagedata.label,31,fr,Comprendre des phrases lues seul
226,groupagedata.label,32,fr,Comprendre un texte lu seul
227,groupagedata.label,33,fr,Écrire des mots
228,groupagedata.label,34,fr,Écrire des syllabes
229,groupagedata.label,35,fr,Lire à voix haute des mots
230,groupagedata.label,36,fr,Lire à voix haute un texte
231,groupagedata.label,37,fr,Calculer mentalement
232,groupagedata.label,38,fr,Additionner
233,groupagedata.label,39,fr,Écrire des nombres
234,groupagedata.label,40,fr,Lire des nombres
235,groupagedata.label,41,fr,Placer un nombre sur une ligne graduée
236,groupagedata.label,42,fr,Résoudre des problèmes
237,groupagedata.label,43,fr,Résoudre un problème en géométrie
238,groupagedata.label,44,fr,Soustraire
239,groupagedata.label,45,fr,Comprendre un texte
240,groupagedata.label,46,fr,Comprendre un texte lu seul
241,groupagedata.label,47,fr,Lire à voix haute un texte
242,groupagedata.label,48,fr,Écrire des mots
243,groupagedata.label,49,fr,Reconnaître des synonymes
244,groupagedata.label,50,fr,Reconnaître des mots de la même famille
245,groupagedata.label,51,fr,Repérer le sujet et le verbe
246,groupagedata.label,52,fr,Accorder le nom et l’adjectif
247,groupagedata.label,53,fr,Accorder le sujet et le verbe
248,groupagedata.label,54,fr,Écrire des nombres entiers
249,groupagedata.label,55,fr,Placer un nombre sur une ligne graduée
250,groupagedata.label,56,fr,Résoudre des problèmes
251,groupagedata.label,57,fr,Connaître les tables de multiplication
252,groupagedata.label,58,fr,Calculer rapidement
253,groupagedata.label,59,fr,Poser et calculer
254,groupagedata.label,60,fr,LES COULEURS
255,groupagedata.label,61,fr,RECONNAISSANCE PRENOM
256,groupagedata.label,62,fr,REPÉRAGE SPATIAL ET TOPOLOGIE
257,groupagedata.label,63,fr,CATEGORISATION
258,groupagedata.label,64,fr,MEMORISATION HISTOIRE
259,groupagedata.label,65,fr,LA SUITE NUMÉRIQUE
260,groupagedata.label,66,fr,LA RÉSOLUTION DE PROBLEMES
261,groupagedata.label,67,fr,PHONOLOGIE
262,groupagedata.label,68,fr,PROBLEMES
263,groupagedata.label,69,fr,PHONOLOGIE
264,groupagedata.label,70,fr,LES COULEURS
265,groupagedata.label,71,fr,RECONNAISSANCE PRENOM
266,groupagedata.label,72,fr,REPÉRAGE SPATIAL ET TOPOLOGIE
267,groupagedata.label,73,fr,CATEGORISATION
268,groupagedata.label,74,fr,MEMORISATION HISTOIRE
269,groupagedata.label,75,fr,LA SUITE NUMÉRIQUE
270,groupagedata.label,76,fr,LA RÉSOLUTION DE PROBLEMES
271,groupagedata.label,77,fr,PHONOLOGIE
272,groupagedata.label,78,en,COLORS
273,groupagedata.label,79,en,NAME RECOGNITION
274,groupagedata.label,80,en,SPATIAL ORIENTATION
275,groupagedata.label,81,en,CATEGORIZATION
276,groupagedata.label,82,en,STORY MEMORIZATION
277,groupagedata.label,83,en,NUMERIC SEQUENCE
278,groupagedata.label,84,en,PROBLEM SOLVING
279,groupagedata.label,85,en,PHONOLOGY
280,groupagedata.label,78,bz,LIVIÑ
281,groupagedata.label,79,bz,ANV AR PRENAME
282,groupagedata.label,80,bz,RANNIEZH SPATIEL
283,groupagedata.label,81,bz,KATEGORIZAÑ
284,groupagedata.label,82,bz,MIRAÑ ISTORIOÙ
285,groupagedata.label,83,bz,HEULIAD NIVEREL
286,groupagedata.label,84,bz,SOLIAD PROBLEM
287,groupagedata.label,85,bz,FONOLOJIEZH
288,groupagedata.label,78,de,FARBEN
289,groupagedata.label,79,de,NAME ERKENNUNG
290,groupagedata.label,80,de,RÄUMLICHE ORIENTIERUNG
291,groupagedata.label,81,de,KATEGORISIERUNG
292,groupagedata.label,82,de,GESCHICHTENERINNERUNG
293,groupagedata.label,83,de,ZAHLENFOLGE
294,groupagedata.label,84,de,PROBLEMLÖSUNG
295,groupagedata.label,85,de,PHONOLOGIE
296,matiere,1,fr,
297,matiere,2,fr,francais
298,matiere,3,fr,mathematiques
299,matiere,1,de,
300,matiere,2,de,Deustch
301,matiere,3,de,Mathe
302,matiere,1,en,
303,matiere,2,en,englich
304,matiere,3,en,math
305,matiere,1,bz,
306,matiere,2,bz,Brezoneg
307,matiere,3,bz,Math
308,item,2,fr,Comprendre des mots
309,item,3,fr,Comprendre des phrases
310,item,4,fr,Comprendre un texte
311,item,5,fr,Connaître le nom des lettres
312,item,6,fr,Manipuler des phonèmes
313,item,7,fr,Manipuler des syllabes
314,item,8,fr,Reconnaître des lettres
315,item,9,fr,Comparer des nombres
316,item,10,fr,Compter des objets
317,item,11,fr,Écrire des nombres
318,item,12,fr,Lire des nombres
319,item,13,fr,Placer un nombre sur une ligne graduée
320,item,14,fr,Résoudre les problèmes
321,item,15,fr,Résoudre un problème en géométrie
322,item,16,fr,Comprendre des phrases lues seul
323,item,17,fr,Comprendre des phrases
324,item,18,fr,Connaître le nom des lettres
325,item,19,fr,Écrire des mots
326,item,20,fr,Écrire des syllabes
327,item,21,fr,Lire à voix haute des mots
328,item,22,fr,Lire à voix haute un texte
329,item,23,fr, Manipuler des phonèmes
330,item,24,fr,Additionner
331,item,25,fr,Comparer des nombres
332,item,26,fr,Écrire des nombres
333,item,27,fr,Placer un nombre sur une ligne graduée
334,item,28,fr,Résoudre des problèmes
335,item,29,fr,Soustraire
336,item,30,fr,Comprendre des mots
337,item,31,fr,Comprendre des phrases
338,item,32,fr,Comprendre des phrases lues seul
339,item,33,fr,Comprendre un texte lu seul
340,item,34,fr,Écrire des mots
341,item,35,fr,Écrire des syllabes
342,item,36,fr,Lire à voix haute des mots
343,item,37,fr,Lire à voix haute un texte
344,item,38,fr,Calculer mentalement
345,item,39,fr,Additionner
346,item,40,fr,Écrire des nombres
347,item,41,fr,Lire des nombres
348,item,42,fr,Placer un nombre sur une ligne graduée
349,item,43,fr,Résoudre des problèmes
350,item,44,fr,Résoudre un problème en géométrie
351,item,45,fr,Soustraire
352,item,46,fr,Comprendre un texte
353,item,47,fr,Comprendre un texte lu seul
354,item,48,fr,Lire à voix haute un texte
355,item,49,fr,Écrire des mots
356,item,50,fr,Reconnaître des synonymes
357,item,51,fr,Reconnaître des mots de la même famille
358,item,52,fr,Repérer le sujet et le verbe
359,item,53,fr,Accorder le nom et l’adjectif
360,item,54,fr,Accorder le sujet et le verbe
361,item,55,fr,Écrire des nombres entiers
362,item,56,fr,Placer un nombre sur une ligne graduée
363,item,57,fr,Résoudre des problèmes
364,item,58,fr,Connaître les tables de multiplication
365,item,59,fr,Calculer rapidement
366,item,60,fr,Poser et calculer
367,item,61,fr,identifier et nommer une couleur: Bleu
368,item,62,fr,identifier et nommer une couleur: Rouge
369,item,63,fr,identifier et nommer une couleur: Jaune
370,item,64,fr,identifier et nommer une couleur: Vert
371,item,65,fr,identifier et nommer une couleur: Orange
372,item,66,fr,identifier et nommer une couleur: Rose
373,item,67,fr,identifier et nommer une couleur: Violet
374,item,68,fr,identifier et nommer une couleur: Blanc
375,item,69,fr,identifier et nommer une couleur: Noir
376,item,70,fr,identifier et nommer une couleur: Gris
377,item,71,fr,identifier et nommer une couleur: Marron
378,item,72,fr,reconnaitre une carte par le nom de sa couleur: Bleu
379,item,73,fr,reconnaitre une carte par le nom de sa couleur: Rouge
380,item,74,fr,reconnaitre une carte par le nom de sa couleur: Jaune
381,item,75,fr,reconnaitre une carte par le nom de sa couleur: Vert
382,item,76,fr,reconnaitre une carte par le nom de sa couleur: Orange
383,item,77,fr,reconnaitre une carte par le nom de sa couleur: Rose
384,item,78,fr,reconnaitre une carte par le nom de sa couleur: Violet
385,item,79,fr,reconnaitre une carte par le nom de sa couleur: Blanc
386,item,80,fr,reconnaitre une carte par le nom de sa couleur: Noir
387,item,81,fr,reconnaitre une carte par le nom de sa couleur: Gris
388,item,82,fr,reconnaitre une carte par le nom de sa couleur: Marron
389,item,83,fr,Reconnaissance de son prénom en majuscule d'imprimerie
390,item,84,fr,Reconnaissance prénom en cursive
391,item,85,fr,Main d'écriture
392,item,86,fr,Choix de l'outils scripteurs
393,item,87,fr,Sens de l'écriture 
394,item,88,fr,Sens d'écriture des lettres
395,item,89,fr,Geste graphique
396,item,90,fr,Tenue de l'outils scripteurs (photo)
397,item,91,fr,désigner la position d'objets nommés par l'enseignant: Au-dessus
398,item,92,fr,désigner la position d'objets nommés par l'enseignant: En-dessous
399,item,93,fr,désigner la position d'objets nommés par l'enseignant: À droite
400,item,94,fr,désigner la position d'objets nommés par l'enseignant: À gauche
401,item,95,fr,désigner la position d'objets nommés par l'enseignant: Dedans
402,item,96,fr,désigner la position d'objets nommés par l'enseignant: Dehors
403,item,97,fr,désigner la position d'objets nommés par l'enseignant: À l'intérieur
404,item,98,fr,désigner la position d'objets nommés par l'enseignant: À l'extérieur
405,item,99,fr,Nommer la position d'objets nommés par l'enseignant: Au-dessus
406,item,100,fr,Nommer la position d'objets nommés par l'enseignant: En-dessous
407,item,101,fr,Nommer la position d'objets nommés par l'enseignant: À droite
408,item,102,fr,Nommer la position d'objets nommés par l'enseignant: À gauche
409,item,103,fr,Nommer la position d'objets nommés par l'enseignant: Dedans
410,item,104,fr,Nommer la position d'objets nommés par l'enseignant: Dehors
411,item,105,fr,Nommer la position d'objets nommés par l'enseignant: À l'intérieur
412,item,106,fr,Nommer la position d'objets nommés par l'enseignant: À l'extérieur
413,item,107,fr,L'élève nomme l'ensemble des objets présentés
414,item,108,fr,L'élève mémorise les objets qu'il ne connaît pas présentés par l'adulte
415,item,109,fr,L'élève est capable de catégoriser l'ensemble des objets
416,item,110,fr,L'élève est capable de nommer la famille de l'objet
417,item,111,fr,L'élève est capable de revenir sur une erreur seul
418,item,112,fr,En cas d'erreur
419,item,113,fr,L'élève est capable d'écouter une histoire
420,item,114,fr,L'élève a mémorisé l'histoire et la verbalise
421,item,115,fr,L'élève utilise le vocabulaire utilisé dans l'histoire
422,item,116,fr,L'élève présente les personnages de l'histoire
423,item,117,fr,L'élève remet les images dans l'ordre chronologique de l'histoire
424,item,118,fr,- sens de la lecture et de l'écriture (ne pas induire)
425,item,119,fr,-mise en place des images
426,item,120,fr,L'élève connaît la suite numérique orale jusqu'à .....
427,item,121,fr,L'élève met en lien la suite numérique oral et écrite jusqu'à ...
428,item,122,fr,L'élève fait émerger la notion de chiffre etde nombre
429,item,123,fr,L'élève confond les notions de lettres et de chiffres
430,item,124,fr,L'élève nomme les 5 cartes nombres
431,item,125,fr,L'élève met en lien les quotités et les quantités
432,item,126,fr,L'élève précise les quantités contenues dans chaque collection
433,item,127,fr,L'élève met en lien les quantités et les quotités
434,item,128,fr,verbaliser le problème et demander la solution présentant 3 cartes réponses
435,item,129,fr,présenter un problème à l'aide d'images et demande la solution avec 3 cartes réponses
436,item,130,fr,présenter 1 image et poser questions 
437,item,131,fr,L'élève entend le son A
438,item,132,fr,L'élève entend le son E
439,item,133,fr,L'élève entend le son I
440,item,134,fr,L'élève entend le son O
441,item,135,fr,L'élève entend le son U
442,item,136,fr,L'élève nomme les 5 objets ou images
443,item,137,fr,L'élève verbalise ceux où il entend le son A
444,item,138,fr,L'élève nomme les 5 objets ou images
445,item,139,fr,L'élève verbalise ceux où il entend le son E
446,item,140,fr,L'élève nomme les 5 objets ou images
447,item,141,fr,L'élève verbalise ceux où il entend le son I
448,item,142,fr,L'élève nomme les 5 objets ou images
449,item,143,fr,L'élève verbalise ceux où il entend le son O
450,item,144,fr,L'élève nomme les 5 objets ou images
451,item,145,fr,L'élève verbalise ceux où il entend le son U
452,item,146,fr,Observations complémentaires de l'enseignant sur les conditions de passation.
453,item,147,fr,item1 cm2 mathematiques
454,item,148,fr,item2 cm2 mathematiques
455,item,149,fr,item1 cm2 francais
456,item,150,fr,item2 cm2 francais
457,item,151,fr,LES COULEURS
458,item,152,fr,RECONNAISSANCE PRENOM
459,item,153,fr,REPÉRAGE SPATIAL ET TOPOLOGIE
460,item,154,fr,CATEGORISATION
461,item,155,fr,MEMORISATION HISTOIRE
462,item,156,fr,LA SUITE NUMÉRIQUE
463,item,157,fr,LA RÉSOLUTION DE PROBLEMES
464,item,158,fr,PHONOLOGIE
465,item,161,en,COLORS
466,item,162,en,RECOGNITION OF FIRST NAME
467,item,163,en,SPATIAL AND TOPOLOGICAL ORIENTATION
468,item,164,en,CATEGORIZATION
469,item,165,en,STORY MEMORIZATION
470,item,166,en,NUMERIC SEQUENCE
471,item,167,en,PROBLEM SOLVING
472,item,168,en,PHONOLOGY
473,item,161,fr,LES COULEURS
474,item,162,fr,RECONNAISSANCE PRENOM
475,item,163,fr,REPÉRAGE SPATIAL ET TOPOLOGIE
476,item,164,fr,CATEGORISATION
477,item,165,fr,MEMORISATION HISTOIRE
478,item,166,fr,LA SUITE NUMÉRIQUE
479,item,167,fr,LA RÉSOLUTION DE PROBLEMES
480,item,168,fr,PHONOLOGIE
481,item,161,bz,LIVIÑ
482,item,162,bz,ANV AR PRENAME
483,item,163,bz,RANNIEZH SPATIEL HA TOPOLOJEK
484,item,164,bz,KATEGORIZAÑ
485,item,165,bz,MIRAÑ ISTORIOÙ
486,item,166,bz,HEULIAD NIVEREL
487,item,167,bz, SOLIAD PROBLEM
488,item,168,bz,FONOLOJIEZH
489,item,161,de,FARBEN
490,item,162,de,ERKENNUNG DES VORNAMENS
491,item,163,de,RÄUMLICHE UND TOPOLOGISCHE ORIENTIERUNG
492,item,164,de,KATEGORISIERUNG
493,item,165,de,GESCHICHTENERINNERUNG
494,item,166,de,ZAHLENFOLGE
495,item,167,de,PROBLEMLÖSUNG
496,item,168,de,PHONOLOGIE
497,temps,1,fr,Temps X
498,temps,2,fr,Temps 1
499,temps,3,fr,Temps 2
500,temps,4,fr,évaluations repères GS : LES COULEURS
501,temps,5,fr,évaluations repères GS : RECONNAISSANCE PRENOM
502,temps,6,fr,évaluations repères GS : REPÉRAGE SPATIAL ET TOPOLOGIE
503,temps,7,fr,évaluations repères GS : CATEGORISATION
504,temps,8,fr,évaluations repères GS : MEMORISATION HISTOIRE
505,temps,9,fr,évaluations repères GS : LA SUITE NUMÉRIQUE
506,temps,10,fr,évaluations repères GS : LA RÉSOLUTION DE PROBLEMES
507,temps,11,fr,évaluations repères GS : PHONOLOGIE
508,temps,1,en,Temps 1
509,temps,2,en,Temps 2
510,temps,3,en,Temps 3
511,temps,4,en,benchmark preschool: COLORS
512,temps,5,en,benchmark preschool: RECOGNITION OF FIRST NAME
513,temps,6,en,benchmark preschool: SPATIAL AND TOPOLOGICAL ORIENTATION
514,temps,7,en,benchmark preschool: CATEGORIZATION
515,temps,8,en,benchmark preschool: STORY MEMORIZATION
516,temps,9,en,benchmark preschool: NUMERIC SEQUENCE
517,temps,10,en,benchmark preschool: PROBLEM SOLVING
518,temps,11,en,benchmark preschool: PHONOLOGY
519,temps,1,bz,T1
520,temps,2,bz,T2
521,temps,3,bz,T3
522,temps,4,bz,LIVIÑ
523,temps,5,bz,ANV AR PRENAME
524,temps,6,bz,RANNIEZH SPATIEL HA TOPOLOJEK
525,temps,7,bz,KATEGORIZAÑ
